Month,Homicides
2016-03-01,411.0297151138054
2016-04-01,418.00321231897095
2016-05-01,428.9754498901749
2016-06-01,345.06482587943634
2016-07-01,358.8339871284456
2016-08-01,383.20436274353625
2016-09-01,375.2567381096595
2016-10-01,418.76999594162544
2016-11-01,456.69882052765865
2016-12-01,497.03075362095484
2017-01-01,508.39802143898805
2017-02-01,476.03278507952695
2017-03-01,510.5625416755245
2017-04-01,487.1379707914209
2017-05-01,449.5040762079707
2017-06-01,386.9360363573091
2017-07-01,365.0888089054344
2017-08-01,401.7939146883008
2017-09-01,396.6533412062086
2017-10-01,431.980613272202
2017-11-01,448.22651512331083
2017-12-01,499.216806080574
2018-01-01,485.72236844082863
2018-02-01,458.8498423467242
2018-03-01,460.9855593807796
2018-04-01,472.07745688451075
2018-05-01,434.4850530583852
2018-06-01,386.276932257657
2018-07-01,370.7932212567923
2018-08-01,417.89061831050884
2018-09-01,375.2396304760625
2018-10-01,408.5660230228378
2018-11-01,389.07402098678114
2018-12-01,405.16337944151593
2019-01-01,393.86100301179806
2019-02-01,378.54505288212596
2019-03-01,362.5848567272838
2019-04-01,319.77441794024566
2019-05-01,299.27014441343977
2019-06-01,250.5165860758391
2019-07-01,274.61789170301284
2019-08-01,334.6108163937074
2019-09-01,328.7308581447894
2019-10-01,337.98033759238336
2019-11-01,331.50934834298334
2019-12-01,363.2862111277775
2020-01-01,358.5837855438148
2020-02-01,350.2874865068761
2020-03-01,360.41432467029426
2020-04-01,338.68860053741867
