Month,Homicides
2016-03-01,386.22061539121427
2016-04-01,410.90722900701354
2016-05-01,455.47816842545666
2016-06-01,352.00875511183483
2016-07-01,384.3133813731837
2016-08-01,343.4813929958171
2016-09-01,360.2140946525645
2016-10-01,409.43848207151865
2016-11-01,466.2134338459957
2016-12-01,432.9352820304689
2017-01-01,469.40578979211745
2017-02-01,456.2819297693907
2017-03-01,468.504803636418
2017-04-01,466.0236605488893
2017-05-01,426.9103953179184
2017-06-01,408.35883327923716
2017-07-01,378.37436539050714
2017-08-01,380.0081233756244
2017-09-01,402.62315835165185
2017-10-01,455.45580119571514
2017-11-01,474.8433421279423
2017-12-01,476.1554787098579
2018-01-01,450.0139934540392
2018-02-01,449.03632528092027
2018-03-01,423.1304619871758
2018-04-01,487.69402684125475
2018-05-01,449.56706101130953
2018-06-01,414.74200732241707
2018-07-01,377.39178858457814
2018-08-01,417.6417440551631
2018-09-01,360.1109256520344
2018-10-01,416.6162356468104
2018-11-01,389.80442266192796
2018-12-01,391.3162715316067
2019-01-01,374.199545419133
2019-02-01,415.9593579802242
2019-03-01,340.1118464000522
2019-04-01,364.57828986206573
2019-05-01,369.5169041974283
2019-06-01,353.015311657227
2019-07-01,347.963390474261
2019-08-01,340.8495733952069
2019-09-01,320.6790716041091
2019-10-01,327.58021065684494
2019-11-01,340.881698592272
2019-12-01,326.2767663334447
2020-01-01,338.9579858028404
2020-02-01,352.04856828001186
2020-03-01,337.05461474741423
2020-04-01,366.18795279251486
