Month,Homicides
2016-03-01,434.09597017960095
2016-04-01,400.6385463979448
2016-05-01,408.4266550734824
2016-06-01,341.7006314879741
2016-07-01,349.6701803982671
2016-08-01,393.6371513877549
2016-09-01,378.8100436286169
2016-10-01,426.9349427441292
2016-11-01,443.7413772080431
2016-12-01,490.78964100288437
2017-01-01,482.59615115133073
2017-02-01,467.63121278754255
2017-03-01,524.1588652453108
2017-04-01,479.25674233776226
2017-05-01,421.2738612426546
2017-06-01,380.6004726495155
2017-07-01,378.50476879939913
2017-08-01,410.4353422929579
2017-09-01,397.2343143448685
2017-10-01,454.2654910670138
2017-11-01,468.0989730462023
2017-12-01,496.08837262166605
2018-01-01,476.81601824724976
2018-02-01,462.3048960965441
2018-03-01,486.9900376408335
2018-04-01,463.8281285191795
2018-05-01,434.0823827769273
2018-06-01,387.36030534345116
2018-07-01,373.6470113669551
2018-08-01,423.23665639074466
2018-09-01,393.0642952958808
2018-10-01,414.9752772154207
2018-11-01,394.593059895241
2018-12-01,417.0286740903111
2019-01-01,389.50119504683124
2019-02-01,376.04112247148805
2019-03-01,386.10196341561823
2019-04-01,329.7336686231146
2019-05-01,310.2332638298425
2019-06-01,286.05870530632023
2019-07-01,307.2371913608558
2019-08-01,335.4921794886878
2019-09-01,329.75348024366815
2019-10-01,344.34563312000546
2019-11-01,327.20300774563293
2019-12-01,348.7936787825102
2020-01-01,349.26120400076195
2020-02-01,334.2568107195183
2020-03-01,365.2113353219729
2020-04-01,339.4491718591073
