Month,Homicides
2016-03-01,386.20358384928625
2016-04-01,411.05263708897064
2016-05-01,455.6844826991268
2016-06-01,351.7402230543131
2016-07-01,384.50475711483466
2016-08-01,343.31578427416343
2016-09-01,360.3033127885743
2016-10-01,409.50202348489137
2016-11-01,466.43046066876104
2016-12-01,432.8367612681716
2017-01-01,469.5499853590088
2017-02-01,456.2217337175357
2017-03-01,468.61914196010474
2017-04-01,466.0390161887247
2017-05-01,426.8934007432947
2017-06-01,408.3590332925417
2017-07-01,378.30697968296585
2017-08-01,380.0146487238108
2017-09-01,402.65367973069164
2017-10-01,455.58506189679116
2017-11-01,474.85650570435575
2017-12-01,476.17927049215456
2018-01-01,449.94411477270154
2018-02-01,449.0629044382621
2018-03-01,423.0685420170697
2018-04-01,487.9019421693827
2018-05-01,449.5125586947863
2018-06-01,414.7333372465658
2018-07-01,377.2756861866371
2018-08-01,417.74818403617144
2018-09-01,359.9324908279716
2018-10-01,416.7591053387739
2018-11-01,389.70161402267024
2018-12-01,391.3270185076033
2019-01-01,374.0946988969105
2019-02-01,416.0361332093764
2019-03-01,339.9377707940166
2019-04-01,364.6105108039565
2019-05-01,369.5143633719362
2019-06-01,352.98952451028913
2019-07-01,347.9229902252574
2019-08-01,340.8426972174645
2019-09-01,320.6000117698494
2019-10-01,327.5762739013529
2019-11-01,340.88797255293184
2019-12-01,326.24041664228633
2020-01-01,338.9630954533242
2020-02-01,352.05277466680843
2020-03-01,337.0234379784678
2020-04-01,366.22280074923503
