Month,Homicides
2016-03-01,408.70707697751806
2016-04-01,417.40605243559094
2016-05-01,448.3945854133622
2016-06-01,325.3349605169797
2016-07-01,364.7937781526237
2016-08-01,347.06393880059255
2016-09-01,350.94986171622185
2016-10-01,422.45403885244144
2016-11-01,437.7740792130325
2016-12-01,425.2047780690755
2017-01-01,500.26457822018136
2017-02-01,488.71964659321577
2017-03-01,466.52898594518365
2017-04-01,490.9574523522537
2017-05-01,454.93766691763733
2017-06-01,405.0775765946777
2017-07-01,364.82857427332505
2017-08-01,403.72455631423315
2017-09-01,397.7242061982087
2017-10-01,460.13470562567466
2017-11-01,471.87291971138274
2017-12-01,469.8031278776459
2018-01-01,483.1928725998742
2018-02-01,461.6019832638219
2018-03-01,424.7811010488734
2018-04-01,448.2631005936331
2018-05-01,442.64232275421193
2018-06-01,367.2518848537502
2018-07-01,385.0107494155461
2018-08-01,404.0353298558817
2018-09-01,358.603392289805
2018-10-01,416.3666640290367
2018-11-01,391.44407054263553
2018-12-01,379.7442827016845
2019-01-01,396.0241645743242
2019-02-01,410.02743321554385
2019-03-01,365.3144811928056
2019-04-01,330.84611758532384
2019-05-01,336.91078093485913
2019-06-01,291.96614444610213
2019-07-01,321.86221310357473
2019-08-01,351.04761033734667
2019-09-01,315.89086337752906
2019-10-01,344.9070496841076
2019-11-01,324.30676114254373
2019-12-01,337.32246892805784
2020-01-01,353.1102221364233
2020-02-01,369.5236471585217
2020-03-01,349.9624246756323
2020-04-01,384.9521736080885
