Month,Homicides
2016-03-01,430.4463637787959
2016-04-01,401.6166968015813
2016-05-01,406.17518232226575
2016-06-01,344.6464343464597
2016-07-01,350.0334380256392
2016-08-01,395.3966868622068
2016-09-01,377.2818370859706
2016-10-01,430.54219419112206
2016-11-01,447.62150742765203
2016-12-01,493.8872979047402
2017-01-01,483.99507339788113
2017-02-01,466.3979348867807
2017-03-01,530.1635278793851
2017-04-01,478.81211626795636
2017-05-01,417.3272621165244
2017-06-01,378.7778341822122
2017-07-01,375.98395796632076
2017-08-01,411.33656772653654
2017-09-01,394.9977301816218
2017-10-01,458.2455574974599
2017-11-01,470.8513225849545
2017-12-01,499.05028621083386
2018-01-01,479.15201849788883
2018-02-01,462.61999852299436
2018-03-01,489.687096735438
2018-04-01,461.55848258590424
2018-05-01,429.7172553841013
2018-06-01,384.40209430370305
2018-07-01,370.98152449882446
2018-08-01,425.9618220181604
2018-09-01,392.3967893302084
2018-10-01,416.9270196665972
2018-11-01,397.2620780145686
2018-12-01,413.9744762252901
2019-01-01,386.0892564375637
2019-02-01,376.5636524328078
2019-03-01,380.04763648652056
2019-04-01,334.40731634434906
2019-05-01,318.68339986652774
2019-06-01,299.47820319314883
2019-07-01,312.90044881730154
2019-08-01,335.6541657877083
2019-09-01,328.1297090352809
2019-10-01,341.3351322361249
2019-11-01,327.73748532523047
2019-12-01,342.35598338880556
2020-01-01,344.1810720785401
2020-02-01,335.4839489181146
2020-03-01,358.2268193377207
2020-04-01,340.7878556462171
