Month,Homicides
2016-03-01,410.9674278728351
2016-04-01,411.17556989775983
2016-05-01,430.6156944369806
2016-06-01,369.6545092541246
2016-07-01,364.1252998941764
2016-08-01,414.7109780979009
2016-09-01,374.76019107155895
2016-10-01,421.5527562742112
2016-11-01,478.64900708995964
2016-12-01,457.9812820709295
2017-01-01,452.0424284485766
2017-02-01,459.86901165190477
2017-03-01,518.2941789087473
2017-04-01,491.5641235774695
2017-05-01,446.4438741929703
2017-06-01,372.67578222297846
2017-07-01,309.86588495181354
2017-08-01,370.7154688069062
2017-09-01,386.97070412765055
2017-10-01,419.3084789691421
2017-11-01,489.72644766965635
2017-12-01,482.11655649216783
2018-01-01,466.2294444889148
2018-02-01,452.316265461149
2018-03-01,491.1483082969847
2018-04-01,495.2431591469641
2018-05-01,441.42390412812506
2018-06-01,391.5009733848237
2018-07-01,362.00303731525054
2018-08-01,439.13038336353026
2018-09-01,351.24796555389804
2018-10-01,410.221737997028
2018-11-01,404.34661011843707
2018-12-01,392.16579712943474
2019-01-01,414.88740561305303
2019-02-01,370.79638159630986
2019-03-01,365.24719180270455
2019-04-01,322.87508163327135
2019-05-01,297.2275438247419
2019-06-01,258.6775289621172
2019-07-01,271.7998858325044
2019-08-01,281.99259830724327
2019-09-01,350.5471495639364
2019-10-01,324.3974723284624
2019-11-01,322.38706129375623
2019-12-01,367.1013523506261
2020-01-01,370.31636586396
2020-02-01,344.7433002194372
2020-03-01,418.1806982718442
2020-04-01,349.77058428173757
