Month,Homicides
2016-03-01,411.2278340783347
2016-04-01,417.8023558161973
2016-05-01,427.2509221979187
2016-06-01,344.62917388921045
2016-07-01,358.65459239275276
2016-08-01,381.9671680036159
2016-09-01,373.90404892917087
2016-10-01,419.2530215077132
2016-11-01,457.7411310851635
2016-12-01,497.2393855026118
2017-01-01,509.2624876340584
2017-02-01,475.8124602746323
2017-03-01,510.30214793499994
2017-04-01,486.12578118523334
2017-05-01,448.6295150792948
2017-06-01,386.7267077428729
2017-07-01,366.46934824983515
2017-08-01,401.04150750027617
2017-09-01,395.0645770717241
2017-10-01,432.38807545219197
2017-11-01,448.3745917489422
2017-12-01,498.85253323408926
2018-01-01,486.5265437615268
2018-02-01,458.61336212464386
2018-03-01,462.0349637489672
2018-04-01,471.8239789913963
2018-05-01,434.99216123525304
2018-06-01,385.92198567764666
2018-07-01,369.74979656981697
2018-08-01,418.5481960428906
2018-09-01,374.4141296112824
2018-10-01,409.0648146338452
2018-11-01,389.12870084422957
2018-12-01,405.15760399434777
2019-01-01,391.29946537990645
2019-02-01,378.2356374495699
2019-03-01,362.45859019117125
2019-04-01,319.6264069767643
2019-05-01,300.0173812509594
2019-06-01,251.77639101341936
2019-07-01,274.37921196339596
2019-08-01,333.84011348491623
2019-09-01,328.32508484942724
2019-10-01,338.1541391487906
2019-11-01,331.51813628714126
2019-12-01,362.4880004666394
2020-01-01,358.41162518527557
2020-02-01,351.0593266460163
2020-03-01,360.6415460300629
2020-04-01,339.3814379347131
