Month,Homicides
2016-03-01,394.99032487367384
2016-04-01,435.0759766554081
2016-05-01,464.4069413737502
2016-06-01,360.77086603560804
2016-07-01,364.68166133138703
2016-08-01,359.79316721166333
2016-09-01,378.3694448666133
2016-10-01,415.52200017651336
2016-11-01,454.6299531343028
2016-12-01,450.71915783852387
2017-01-01,453.6522543103581
2017-02-01,468.31773666952915
2017-03-01,491.78250844420285
2017-04-01,486.89401432447914
2017-05-01,426.27668723990547
2017-06-01,415.52200017651336
2017-07-01,381.30254133844755
2017-08-01,365.65936015533174
2017-09-01,388.1464331060607
2017-10-01,447.7860613666897
2017-11-01,475.1616284371423
2017-12-01,444.85296489485546
2018-01-01,435.0759766554081
2018-02-01,457.56304960613704
2018-03-01,431.1651813596291
2018-04-01,496.67100256392655
2018-05-01,465.3846401976949
2018-06-01,413.5666025286239
2018-07-01,366.6370589792765
2018-08-01,400.8565178173423
2018-09-01,351.9715766201054
2018-10-01,373.4809507468896
2018-11-01,374.4586495708344
2018-12-01,369.5701554511107
2019-01-01,338.2837930848791
2019-02-01,377.3917460426686
2019-03-01,315.7967201341501
2019-04-01,336.32839543698964
2019-05-01,351.9715766201054
2019-06-01,337.30609426093434
2019-07-01,324.59600954965276
2019-08-01,306.0197318947028
2019-09-01,312.86362366231594
2019-10-01,303.08663542286854
2019-11-01,313.84132248626065
2019-12-01,312.86362366231594
2020-01-01,322.6406119017633
2020-02-01,341.2168895567133
2020-03-01,315.7967201341501
2020-04-01,363.70396250744227
