Month,Homicides
2016-03-01,393.00174544571274
2016-04-01,395.48492500958383
2016-05-01,396.8014335380882
2016-06-01,395.48513874268616
2016-07-01,392.9989764215748
2016-08-01,391.28503186898894
2016-09-01,391.2841610236385
2016-10-01,392.0020652566871
2016-11-01,393.7007128015858
2016-12-01,395.49653488270354
2017-01-01,396.8137003682405
2017-02-01,397.83597685405005
2017-03-01,399.0323183172094
2017-04-01,400.0273624258815
2017-05-01,400.3291048024686
2017-06-01,400.5298093489577
2017-07-01,400.3243027926984
2017-08-01,400.01624969360154
2017-09-01,400.0208955756545
2017-10-01,400.3360442569098
2017-11-01,400.54448526923625
2017-12-01,400.744358949173
2018-01-01,401.0528460352825
2018-02-01,401.84490695228436
2018-03-01,402.5073632653283
2018-04-01,402.69775365525055
2018-05-01,402.7185535829178
2018-06-01,404.03716860529613
2018-07-01,402.7065333918808
2018-08-01,403.52131716998537
2018-09-01,402.7098640095397
2018-10-01,402.68769899323627
2018-11-01,402.494399424023
2018-12-01,401.8248926412935
2019-01-01,401.0255348006078
2019-02-01,400.71357461985355
2019-03-01,400.508264154384
2019-04-01,400.29910678992934
2019-05-01,399.9861522531967
2019-06-01,398.98771393913074
2019-07-01,397.79459655470833
2019-08-01,396.7731238785732
2019-09-01,395.9481958590983
2019-10-01,395.1590962713474
2019-11-01,393.67697853569075
2019-12-01,392.1701828499452
2020-01-01,391.4810157848624
2020-02-01,391.28851520810974
2020-03-01,391.2618275864006
2020-04-01,390.2850616243906
