Month,Homicides
2016-03-01,434.00227199302327
2016-04-01,402.43954930759566
2016-05-01,396.5595436730518
2016-06-01,348.13361897977757
2016-07-01,351.9665134386094
2016-08-01,396.25583814077567
2016-09-01,387.479278332994
2016-10-01,428.3392775708069
2016-11-01,442.51121962385497
2016-12-01,493.1956359272295
2017-01-01,496.83047816113077
2017-02-01,484.4324621040722
2017-03-01,532.9461214914079
2017-04-01,495.92076778045373
2017-05-01,444.31727279181973
2017-06-01,396.7116427038599
2017-07-01,386.1852597525632
2017-08-01,414.4029177718663
2017-09-01,400.4926917489333
2017-10-01,440.35172578094364
2017-11-01,450.01236467636846
2017-12-01,487.8987998505822
2018-01-01,483.5959499646908
2018-02-01,470.5757031267781
2018-03-01,497.9193337737619
2018-04-01,465.38838404444766
2018-05-01,432.54007823695133
2018-06-01,388.0981625485858
2018-07-01,375.26721861775565
2018-08-01,415.3642467142741
2018-09-01,399.12497178040053
2018-10-01,418.8740001196902
2018-11-01,400.81305205140814
2018-12-01,420.7691111925002
2019-01-01,401.7343212881045
2019-02-01,378.21413872831283
2019-03-01,391.87379199064935
2019-04-01,333.5747130858981
2019-05-01,291.6552344406316
2019-06-01,253.76091262545785
2019-07-01,263.5179744152754
2019-08-01,299.87017799195917
2019-09-01,307.55786691484553
2019-10-01,335.3472524235601
2019-11-01,329.198800105441
2019-12-01,354.0430242978069
2020-01-01,358.2382780353873
2020-02-01,340.00364685515717
2020-03-01,370.0146306922548
2020-04-01,337.3255923630048
