Month,Homicides
2016-03-01,409.94725661444653
2016-04-01,422.41084160972895
2016-05-01,447.66415823088084
2016-06-01,352.490754646881
2016-07-01,377.2626937253366
2016-08-01,368.73003849771356
2016-09-01,370.02181825294474
2016-10-01,438.0807673408616
2016-11-01,457.1812324583775
2016-12-01,478.3414346073745
2017-01-01,495.85115179064104
2017-02-01,451.3641525481984
2017-03-01,485.8479734388089
2017-04-01,444.71320950304585
2017-05-01,445.2876056207667
2017-06-01,359.6712462874332
2017-07-01,352.5687311406833
2017-08-01,387.2618067097235
2017-09-01,395.1405366644944
2017-10-01,449.82530249560415
2017-11-01,448.96258923437955
2017-12-01,494.0055003733165
2018-01-01,492.4298188966406
2018-02-01,442.41098569766166
2018-03-01,461.4825028674263
2018-04-01,461.8082441791443
2018-05-01,447.6452762075444
2018-06-01,368.9671637643527
2018-07-01,379.98888396655985
2018-08-01,408.72860336086404
2018-09-01,363.53250020915937
2018-10-01,425.92835889801364
2018-11-01,382.8783891527971
2018-12-01,420.2383808048426
2019-01-01,393.55802396574063
2019-02-01,393.41960207792783
2019-03-01,353.66645027664424
2019-04-01,323.12036233716987
2019-05-01,326.4881964841249
2019-06-01,277.22413667175636
2019-07-01,310.39911465143206
2019-08-01,342.10326883077016
2019-09-01,320.115979478667
2019-10-01,342.4875560480713
2019-11-01,315.3802090641138
2019-12-01,349.0307043387377
2020-01-01,351.21553424881535
2020-02-01,358.1206964881658
2020-03-01,355.5158051615124
2020-04-01,352.7217914108328
