Month,Homicides
2016-03-01,414.40532930484676
2016-04-01,422.68415726904425
2016-05-01,445.69579390200875
2016-06-01,347.3391099999441
2016-07-01,375.970446017898
2016-08-01,370.5467155312747
2016-09-01,368.9002417701276
2016-10-01,437.3736826367399
2016-11-01,455.18071291368926
2016-12-01,478.79046073524387
2017-01-01,497.17814659337165
2017-02-01,452.5242254971179
2017-03-01,486.9106948700176
2017-04-01,443.81919299854565
2017-05-01,445.15219087484365
2017-06-01,359.4800453665589
2017-07-01,352.4300922045073
2017-08-01,386.6558848413229
2017-09-01,395.29493248693495
2017-10-01,447.9616688704726
2017-11-01,450.3040889541775
2017-12-01,494.10920321473805
2018-01-01,491.5277101428255
2018-02-01,442.256978306258
2018-03-01,460.8658138698893
2018-04-01,462.5468065409103
2018-05-01,447.56551632491335
2018-06-01,369.0972264736957
2018-07-01,382.6470644563451
2018-08-01,409.03534833526305
2018-09-01,362.42673063530447
2018-10-01,427.08692124239013
2018-11-01,382.4329592599709
2018-12-01,419.5101804354898
2019-01-01,392.7899869849531
2019-02-01,393.9346234792211
2019-03-01,352.8122382442276
2019-04-01,321.73640052000746
2019-05-01,324.5973655812717
2019-06-01,277.2957220106865
2019-07-01,312.1540765929772
2019-08-01,341.6711041384949
2019-09-01,320.50146767891516
2019-10-01,341.81113376312055
2019-11-01,315.6756987761735
2019-12-01,346.4770862462191
2020-01-01,351.56527349578914
2020-02-01,357.74519941661254
2020-03-01,355.6753697192983
2020-04-01,352.02006960807256
