Month,Homicides
2016-03-01,417.2346784929185
2016-04-01,383.3623529850592
2016-05-01,365.6868311604939
2016-06-01,320.0579455660054
2016-07-01,319.5044658801447
2016-08-01,361.1614262163558
2016-09-01,355.30775443361034
2016-10-01,388.543340841499
2016-11-01,395.9531209967182
2016-12-01,444.72917749463426
2017-01-01,455.66357581537363
2017-02-01,447.64654311943576
2017-03-01,493.08258576983917
2017-04-01,466.8643204845657
2017-05-01,430.22634797299554
2017-06-01,388.5505832594402
2017-07-01,382.1039948968566
2017-08-01,414.60469235098617
2017-09-01,408.2260464240195
2017-10-01,438.22826878423086
2017-11-01,440.1651400368059
2017-12-01,477.56532516874813
2018-01-01,482.1279603138695
2018-02-01,471.4839224701905
2018-03-01,501.42034689630276
2018-04-01,468.5024104700141
2018-05-01,435.3284022901167
2018-06-01,391.891270977155
2018-07-01,381.50149523061356
2018-08-01,415.21497830248364
2018-09-01,412.4101840988944
2018-10-01,434.9852854179445
2018-11-01,424.12071305124925
2018-12-01,449.7465820757756
2019-01-01,447.9422371025333
2019-02-01,428.61756534632485
2019-03-01,452.13138032841573
2019-04-01,405.9519828238789
2019-05-01,362.55263606206427
2019-06-01,313.8569785730541
2019-07-01,307.31474101388557
2019-08-01,327.53482529496165
2019-09-01,329.15547040128797
2019-10-01,348.88026855804543
2019-11-01,339.88424418312127
2019-12-01,361.8521643292257
2020-01-01,371.2963462888258
2020-02-01,352.32740464451024
2020-03-01,383.6704626205662
2020-04-01,354.17295886332226
