Month,Homicides
2016-03-01,394.66034494738943
2016-04-01,426.91987702750964
2016-05-01,452.4823973447027
2016-06-01,373.58327710840496
2016-07-01,376.11942698539275
2016-08-01,372.08272179217875
2016-09-01,385.8514791095297
2016-10-01,414.25952776687706
2016-11-01,445.54666260142534
2016-12-01,444.63955809341047
2017-01-01,448.71510980150845
2017-02-01,461.98898869790435
2017-03-01,482.7795457926397
2017-04-01,481.3446730508959
2017-05-01,435.55901159464787
2017-06-01,426.37245027710196
2017-07-01,397.71478971404076
2017-08-01,387.2406955746901
2017-09-01,404.2290713516574
2017-10-01,452.68601370995583
2017-11-01,469.0656052942914
2017-12-01,447.2055183727061
2018-01-01,442.3582884989059
2018-02-01,461.2888930925161
2018-03-01,435.9148196079183
2018-04-01,500.4922613376348
2018-05-01,456.6131438011567
2018-06-01,436.41785862001615
2018-07-01,382.159810959836
2018-08-01,416.4374015686476
2018-09-01,377.36213623591175
2018-10-01,392.729399656919
2018-11-01,392.51173688930555
2018-12-01,387.8032746753005
2019-01-01,362.14390038450387
2019-02-01,391.6684439838312
2019-03-01,342.5305739858867
2019-04-01,356.9536174157346
2019-05-01,368.1259049814557
2019-06-01,355.669069135657
2019-07-01,344.4203128563574
2019-08-01,328.13782457670516
2019-09-01,331.9352856749245
2019-10-01,322.6203093875889
2019-11-01,329.8253898469477
2019-12-01,327.9636462036823
2020-01-01,334.92314142964324
2020-02-01,349.39353472650436
2020-03-01,328.81325773804076
2020-04-01,366.65381119481583
